categoria,mes,valor_sum,valor_avg,total_sum,total_avg,n
A,2024-01,375.61,53.65857142857143,2634.98,376.42571428571426,7
A,2024-02,424.65,84.92999999999999,2037.04,407.408,5
A,2024-03,106.44,26.61,711.6,177.9,4
B,2024-01,103.19,20.637999999999998,367.87,73.574,5
B,2024-02,164.88,41.22,972.1199999999999,243.02999999999997,4
B,2024-03,206.37,34.395,968.6200000000001,161.4366666666667,6
B,2024-04,124.34,62.17,797.5999999999999,398.79999999999995,2
C,2024-01,87.5,21.875,458.7,114.675,4
C,2024-02,337.98,56.330000000000005,2215.81,369.3016666666667,6
C,2024-03,144.96,72.48,923.48,461.74,2
C,2024-04,59.44,59.44,297.2,297.2,1
